subj_idx,stim,response,rt,condition,want2see
2022,1,1,3.1029,1,1
2022,1,0,3.0443,1,0
2022,-0.5,0,1.9446,1,0
2022,-1,0,1.5436,1,0
2022,1,1,2.4834,1,1
2022,-0.5,0,1.3451,-1,1
2022,0.5,1,2.9551,-1,0
2022,0,0,2.3136,-1,1
2022,0,0,3.3113,1,0
2022,0.5,0,3.1109,1,0
2022,1,1,2.8567,-1,0
2022,-0.5,0,2.1157,1,0
2022,-1,0,1.4813,-1,1
2022,-1,0,1.9045,-1,1
2022,0.5,1,1.7951,1,1
2022,1,1,2.0137,1,1
2022,1,1,1.5694,-1,0
2022,0,0,3.2374,1,0
2022,1.5,1,2.2378,-1,0
2022,1.5,1,1.6177,-1,0
2022,5,1,1.2899,1,1
2022,-1,0,1.4934,-1,1
2022,-1.5,0,2.2977,-1,1
2022,-0.5,0,1.7164,1,0
2022,0,0,1.2495,-1,1
2022,0,0,2.0736,-1,1
2022,0.5,1,3.1197,-1,0
2024,0.5,1,2.0088,1,0
2024,-0.5,1,1.8957,1,0
2024,1.5,1,1.1746,1,0
2024,1.5,1,1.3628,1,0
2024,1.5,1,3.3861,-1,1
2024,-1,0,1.2968,-1,0
2024,1,1,3.0074,-1,1
2024,1,1,1.1758,1,0
2024,1,1,2.467,-1,1
2024,0.5,1,1.6001,1,0
2024,0,1,2.5826,1,0
2024,0.5,1,1.8261,-1,1
2024,0,0,2.08,-1,0
2024,1,1,1.8835,1,0
2024,-0.5,1,3.4154,-1,1
2024,-0.5,1,1.9298,1,0
2024,0.5,1,2.3211,-1,1
2024,1,1,1.3307,-1,1
2024,0.5,1,2.3453,-1,1
2024,-1.5,0,1.6109,1,1
2024,0,1,1.4119,1,0
2024,0,0,1.0725,1,1
2024,0.5,1,0.8637,1,0
2024,-1,0,1.7407,1,1
2024,0,1,1.1647,1,0
2024,1.5,1,1.3229,1,0
2024,5,1,1.2209,-1,1
2024,0.5,1,2.5176,1,0
2024,0.5,1,1.6416,1,0
2024,-1,0,1.1198,1,1
2024,0,1,2.0827,1,0
2024,1,1,1.0546,-1,1
2024,0.5,1,1.1,-1,1
2024,1.5,1,1.2241,-1,1
2024,-0.5,0,2.3842,1,1
2024,1,1,0.9932,1,0
2024,0.5,1,1.1345,1,0
2024,-1,0,1.0856,-1,0
2024,-0.5,0,1.9311,-1,0
2024,1,1,1.8622,1,0
2024,0.5,1,2.2907,-1,0
2024,1,1,1.806,-1,0
2024,0,1,1.8504,-1,0
2024,-1,0,1.9754,1,0
2024,5,1,0.9542,-1,0
2024,-0.5,0,1.9026,-1,1
2024,-0.5,1,2.2871,1,1
2024,1.5,1,1.5224,-1,0
2024,-0.5,1,3.6805,1,1
2024,0,1,2.7815,1,1
2024,1.5,1,1.6347,-1,0
2024,1,1,1.4964,-1,0
2024,-1,0,2.8527,1,0
2024,-1.5,0,1.2032,1,0
2024,-0.5,0,1.0577,-1,1
2024,-1.5,0,0.8805,-1,1
2024,0,0,1.3106,-1,1
2024,-0.5,0,2.1293,-1,1
2024,1.5,1,1.0964,1,1
2024,0,0,2.0199,1,0
2024,0.5,1,1.5774,-1,0
2024,0.5,1,1.1925,1,1
2024,-1.5,0,0.9626,1,0
2024,1,1,1.0474,-1,0
2024,-0.5,1,1.5309,-1,0
2024,0.5,1,2.6011,-1,0
2024,-0.5,0,0.8627,1,0
2024,1,1,1.4049,1,1
2024,-1,0,0.913,-1,1
2024,-0.5,0,0.8602,-1,1
2024,-0.5,0,0.7793,1,0
2024,1,1,1.0353,1,1
2024,0.5,1,1.9015,-1,0
2024,1,1,1.176,1,1
2024,1.5,1,1.9348,1,1
2024,0.5,1,1.0697,1,1
2024,0,1,3.4505,1,1
2024,0.5,1,1.4525,1,1
2024,1,1,2.6326,-1,0
2024,1.5,1,0.9974,-1,0
2024,-5,0,0.9381,1,1
2024,-5,0,0.7904,-1,0
2024,-1.5,0,0.958,-1,0
2024,-1,0,1.7796,1,1
2024,0,1,1.7949,-1,1
2024,0.5,1,0.8776,1,0
2024,-0.5,0,2.6061,1,1
2024,0,0,2.1491,-1,0
2024,-1,0,0.9097,-1,0
2024,-1.5,0,0.7135,1,1
2024,0.5,1,1.6377,-1,1
2024,1,1,1.0663,-1,1
2024,-1,0,1.0385,1,1
2024,-0.5,0,1.5692,-1,0
2024,-1.5,0,0.784,-1,0
2024,0,1,1.0352,1,0
2024,0,1,1.8365,-1,1
2024,5,1,1.0984,1,0
2024,-0.5,0,1.119,-1,0
2024,1.5,1,1.4615,-1,1
2024,0,1,1.3551,-1,1
2024,0,0,2.4149,1,1
2024,-0.5,1,1.7949,-1,1
2024,-1,0,0.9032,-1,0
2024,0,1,1.8083,-1,1
2024,0,0,1.766,-1,0
2024,-1.5,0,0.803,1,1
2024,-0.5,0,2.5212,1,1
2024,0,1,1.1572,1,0
2024,0,1,1.5416,-1,1
2024,0.5,1,1.2401,-1,1
2024,-1,0,1.1542,1,1
2024,0.5,0,2.8717,-1,0
2024,-0.5,0,0.9368,-1,0
2024,-0.5,0,1.2391,1,1
2024,1,1,1.1689,1,0
2024,-0.5,0,1.4594,-1,0
2024,-1,0,0.9992,-1,0
2024,-1.5,0,0.8752,-1,0
2024,-0.5,0,2.1801,1,1
2024,0,1,1.0514,1,1
2024,-1.5,0,1.2485,1,0
2024,1,1,0.9978,1,1
2024,0,0,2.4018,1,0
2024,0,1,1.1169,-1,0
2024,-5,0,1.126,1,0
2024,0,0,3.2793,1,0
2024,1,1,2.5333,1,1
2024,-0.5,1,1.991,-1,0
2024,0,1,2.5506,-1,0
2024,1,1,1.9721,-1,0
2024,0,1,1.2526,-1,0
2024,0,1,1.2738,-1,0
2024,0.5,1,1.4056,1,1
2024,-1,0,0.9506,-1,1
2024,-1.5,0,0.7543,-1,1
2024,0,1,1.444,-1,0
2024,-1,0,1.2731,1,0
2024,-1.5,0,0.8991,-1,1
2024,5,1,1.8355,1,1
2024,0,0,1.1674,-1,1
2024,-1,0,0.779,1,0
2024,-1,0,0.7163,1,0
2024,0.5,0,1.1808,-1,1
2024,1.5,1,1.2573,1,1
2024,0.5,1,1.4405,1,1
2024,0,0,1.6249,1,0
2024,0.5,1,0.8267,-1,0
2024,-1,0,0.7665,-1,1
2024,-0.5,0,0.7183,1,0
2024,-1,0,0.9354,-1,1
2024,-0.5,0,1.0627,1,0
2024,-5,0,0.7643,-1,1
2024,-0.5,1,2.4615,-1,0
2024,0.5,1,0.9498,1,1
2024,0.5,1,1.6637,-1,0
2024,0,1,0.9518,1,1
2024,0.5,1,0.9301,1,1
2024,-0.5,0,2.0573,1,0
2024,-1,0,2.2836,-1,1
2027,0,1,1.2901,1,1
2027,-1,0,0.7406,-1,1
2027,0,1,1.4627,1,1
2027,1,1,0.8541,1,1
2027,-1.5,0,0.6656,1,0
2027,0,0,2.505,-1,1
2027,-0.5,1,1.8738,-1,0
2027,-0.5,0,1.1327,-1,1
2027,1,1,0.6931,1,1
2027,0,0,1.439,-1,1
2027,1,1,0.872,-1,0
2027,0.5,1,1.0116,-1,0
2027,1,1,1.101,-1,0
2027,-1,0,0.7253,1,0
2027,1,1,0.8491,-1,0
2027,-0.5,1,1.1978,-1,0
2027,-1,0,0.9545,1,0
2027,0,0,1.7262,-1,1
2027,-0.5,0,1.197,-1,1
2027,0,1,1.8992,-1,0
2027,5,1,0.748,1,1
2027,-1,0,0.6838,-1,1
2027,0,0,1.5882,1,0
2027,0,1,1.7155,-1,0
2027,1,1,0.8718,1,1
2027,1.5,1,1.0941,-1,0
2027,-1,0,1.2091,1,0
2027,0.5,1,2.1114,-1,0
2027,-1,0,1.0458,1,0
2027,0.5,1,0.8401,1,1
2027,-0.5,1,0.9286,1,1
2027,0.5,0,2.2748,-1,1
2027,1,0,1.2977,-1,1
2027,-1,0,0.9617,-1,1
2027,-1.5,0,0.997,-1,1
2027,1,1,1.1275,1,1
2027,-0.5,0,0.9787,1,0
2027,-0.5,0,1.2797,1,0
2027,0,1,1.5073,1,1
2027,1.5,0,1.2498,1,0
2027,-1,0,1.4721,-1,0
2027,-0.5,0,1.3013,1,1
2027,1,1,1.1773,-1,1
2027,1,1,0.7449,1,0
2027,-1,0,1.0123,-1,0
2027,-0.5,1,2.4203,-1,1
2027,0,0,1.9911,-1,0
2027,-5,0,1.0932,-1,0
2027,0,1,1.3675,1,0
2027,1,1,0.9678,-1,1
2027,1.5,1,1.0135,-1,1
2027,0.5,1,1.3,-1,1
2027,0.5,1,1.8788,-1,1
2027,1,1,0.9302,-1,1
2027,1.5,1,0.8095,1,0
2027,0,0,2.5606,1,1
2027,0,0,2.6167,1,1
2027,0,0,1.5736,1,1
2027,-0.5,0,1.1983,-1,0
2027,1.5,1,1.0561,1,0
2027,-5,0,0.7274,1,1
2027,0,0,1.4121,-1,0
2027,-1,0,1.1423,-1,0
2027,0,1,1.1602,-1,1
2027,-1.5,0,0.8131,-1,0
2027,0.5,1,0.8093,1,0
2027,-0.5,1,0.9554,1,0
2027,0.5,0,2.6739,-1,0
2027,1.5,1,0.9363,-1,1
2027,-0.5,0,1.1968,-1,0
2027,-1,1,1.6442,1,0
2027,-1,0,0.9941,-1,0
2027,0,0,3.725,-1,0
2027,0.5,1,1.3139,1,0
2027,-1.5,0,1.2243,-1,0
2027,-1.5,0,0.9183,1,1
2027,1,1,1.0168,-1,1
2027,-1.5,0,0.9345,-1,0
2027,-0.5,1,1.2842,-1,1
2027,-1,0,3.0863,1,1
2027,-1,0,1.5082,-1,1
2027,0.5,0,2.5976,1,0
2027,0,1,1.1258,1,1
2027,0.5,1,1.9052,1,1
2027,-0.5,0,0.9823,-1,1
2027,-0.5,0,1.7365,1,0
